Wall time,Step,Value
1683032270.6932893,18,-0.035678550601005554
1683032278.701637,24,-0.043554771691560745
1683032300.3038642,40,-0.03165607154369354
1683032302.9551375,42,-0.02376001700758934
1683032306.9711502,45,-0.04032493382692337
1683032321.6187344,56,-0.03008842281997204
1683032341.9863834,71,-0.029718445613980293
1683032345.9940476,74,-0.03313877061009407
1683032372.8833888,94,-0.033512603491544724
1683032389.4757843,106,-0.030591534450650215
1683032417.8624036,126,-0.020108912140130997
1683032459.05548,155,-0.026105303317308426
1683032463.3137846,158,-0.029325218871235847
1683032475.9583902,167,-0.0272345133125782
1683032498.9592843,183,-0.04134132340550423
1683032501.7416723,185,-0.021552789956331253
1683032564.2430522,229,-0.03538110479712486
1683032571.3585846,234,-0.026892486959695816
1683032593.1477025,249,-0.03193952888250351
1683032601.560206,255,-0.04022382199764252
1683032608.7480571,260,-0.02645074389874935
1683032618.505813,267,-0.03516407310962677
1683032626.9206414,273,-0.037129390984773636
1683032677.188976,308,-0.025937572121620178
1683032680.042686,310,-0.01965232379734516
1683032691.5552447,318,-0.006620781496167183
1683032722.130011,339,-0.020318906754255295
1683032733.5671215,347,-0.0226821918040514
1683032762.3313804,367,-0.017776569351553917
1683032839.4386263,421,-0.022988423705101013
1683032840.8869967,422,-0.02193373255431652
1683032865.3101754,439,-0.030500300228595734
1683032869.6100144,442,-0.023128408938646317
1683032873.889622,445,-0.02346901223063469
1683032895.837403,460,-0.014967328868806362
1683032900.102727,463,-0.02258557453751564
1683032901.4894767,464,-0.025631921365857124
1683032915.9596457,474,-0.02377503551542759
1683032943.2843106,493,-0.02859727293252945
1683032973.5763397,514,-0.017969707027077675
1683032998.160442,531,-0.02320183999836445
1683033005.3639886,536,-0.022043829783797264
1683033044.458778,563,-0.02027139812707901
1683033058.9739707,573,-0.017432089895009995
1683033067.557165,579,-0.028536662459373474
1683033078.6331673,586,-0.01663023792207241
1683033080.0234299,587,-0.027271607890725136
1683033127.9270358,620,-0.02790832705795765
1683033130.8218641,622,-0.029750728979706764
1683033148.615189,634,-0.022297460585832596
1683033158.8684447,641,-0.022945931181311607
1683033160.2871726,642,-0.02704514190554619
1683033163.2083292,644,-0.029953813180327415
1683033167.6488025,647,-0.030058670789003372
1683033170.5216436,649,-0.027192626148462296
1683033188.282666,661,-0.026852374896407127
1683033202.9946465,671,-0.01624307595193386
1683033266.7186852,714,-0.030201014131307602
1683033278.4587777,722,-0.021719397976994514
1683033290.4064019,730,-0.02403319627046585
1683033303.6421986,739,-0.02715780772268772
1683033322.8246586,752,-0.022818690165877342
1683033328.6240854,756,-0.025039006024599075
1683033342.9897485,765,-0.02499954029917717
1683033348.9065733,769,-0.023972755298018456
1683033351.899982,771,-0.027302490547299385
1683033354.815683,773,-0.028701340779662132
1683033365.1364577,780,-0.020182987675070763
1683033372.4979963,785,-0.02034769579768181
1683033375.5229812,787,-0.02815217338502407
1683033382.8855503,792,-0.024459831416606903
1683033385.828546,794,-0.022588321939110756
1683033391.6055956,798,-0.030682319775223732
1683033397.575108,802,-0.012981748208403587
1683033406.4823372,808,-0.02553471364080906
1683033407.9513507,809,-0.03122413158416748
1683033442.0769114,832,-0.02625955268740654
1683033447.9151068,836,-0.028658924624323845
1683033496.766578,869,-0.021377990022301674
1683033507.2769835,876,-0.025543658062815666
1683033516.0670705,882,-0.016871972009539604
1683033536.9783478,896,-0.023001618683338165
1683033542.8471522,900,-0.029708582907915115
1683033553.2540812,907,-0.02336101233959198
1683033556.2327003,909,-0.019178101792931557
1683033568.2023587,917,-0.023562001064419746
1683033589.0641305,931,-0.02553451620042324
1683033590.5461047,932,-0.031022343784570694
1683033605.542317,942,-0.029291175305843353
1683033610.1109934,945,-0.028652487322688103
1683033623.425095,954,-0.03233059123158455
1683033635.4661555,962,-0.021925635635852814
1683033648.9005167,971,-0.023642906919121742
1683033651.7687767,972,-0.02690163254737854
1683033660.7769785,978,-0.03363239765167236
1683033662.3001041,979,-0.018202591687440872
1683033669.8372838,984,-0.025050168856978416
1683033696.688799,1002,-0.022741548717021942
1683033701.1244242,1005,-0.022720230743288994
1683033714.5012755,1014,-0.028739040717482567
1683033759.6956415,1044,-0.026067564263939857
1683033779.3320951,1057,-0.027192549780011177
1683033788.344096,1063,-0.025908365845680237
1683033792.9527395,1066,-0.02988792024552822
1683033796.0504317,1068,-0.029344242066144943
1683033802.196475,1072,-0.02745160460472107
1683033811.2563457,1078,-0.03250762075185776
1683033818.781997,1083,-0.0330602265894413
1683033834.0303082,1093,-0.030567364767193794
1683033843.284974,1099,-0.01575927436351776
1683033850.9698498,1104,-0.02979513816535473
1683033866.4016535,1114,-0.02333027869462967
1683033931.1763916,1156,-0.019998915493488312
1683033937.3564837,1160,-0.024998808279633522
1683033938.948319,1161,-0.03452601283788681
1683033940.4861941,1162,-0.027167674154043198
1683033968.3463295,1180,-0.018707111477851868
1683033988.6015232,1193,-0.029792672023177147
1683034009.0952942,1206,-0.034561142325401306
1683034049.7693164,1232,-0.0200793519616127
1683034070.5363026,1244,-0.02205009199678898
1683034088.0707436,1255,-0.03453505411744118
1683034092.8485389,1258,-0.02780686318874359
1683034097.6937149,1261,-0.025379100814461708
1683034129.9012294,1281,-0.0219751987606287
1683034139.517887,1287,-0.037843309342861176
1683034150.7085934,1294,-0.03072831593453884
1683034160.371296,1300,-0.026244642212986946
1683034185.934429,1316,-0.027783088386058807
1683034190.6465354,1319,-0.025689896196126938
1683034208.1488109,1330,-0.03401563689112663
1683034212.877045,1333,-0.025327129289507866
1683034217.6580877,1336,-0.030565068125724792
1683034219.2866006,1337,-0.03639078512787819
1683034295.8897536,1385,-0.017260229215025902
1683034300.6492217,1388,-0.0328860767185688
1683034305.393582,1391,-0.026073263958096504
1683034307.0334427,1392,-0.03389335796236992
1683034342.342885,1414,-0.0360763780772686
1683034361.8276722,1426,-0.03319855034351349
1683034377.946444,1436,-0.026828957721590996
1683034384.4815278,1440,-0.023996839299798012
1683034425.2831502,1465,-0.037254124879837036
1683034426.942362,1466,-0.025482341647148132
1683034444.613388,1477,-0.03595514968037605
1683034457.4907124,1485,-0.026469597592949867
1683034464.023487,1489,-0.03022315725684166
1683034467.3186507,1491,-0.027308950200676918
1683034519.9332812,1523,-0.03198114037513733
1683034526.5698698,1527,-0.008884389884769917
1683034567.6377645,1552,-0.027470022439956665
1683034595.788142,1568,-0.023702729493379593
1683034597.4504,1569,-0.030857177451252937
1683034622.2185657,1584,-0.03140214458107948
1683034628.9018698,1588,-0.03141586855053902
1683034655.0991182,1604,-0.02947266213595867
1683034656.7269604,1605,-0.03132614865899086
1683034692.962498,1627,-0.024789046496152878
1683034701.0322194,1632,-0.021293360739946365
1683034709.2944994,1637,-0.012065762653946877
1683034714.240044,1640,-0.020984476432204247
1683034722.5704205,1645,-0.03370916098356247
1683034727.470113,1648,-0.03224162757396698
1683034747.2201636,1660,-0.033354829996824265
1683034760.4695897,1668,-0.00926175806671381
1683034772.0499618,1675,-0.020746231079101562
1683034783.615037,1682,-0.030552754178643227
1683034798.5132823,1691,-0.03623313084244728
1683034805.2758157,1695,-0.02956477366387844
1683034808.6237795,1697,-0.027167189866304398
1683034811.954071,1699,-0.03590131551027298
1683034817.0118759,1702,-0.03099966049194336
1683034828.6923876,1709,-0.0324004665017128
1683034843.7006907,1718,-0.04023851081728935
1683034860.3750334,1728,-0.03458932414650917
1683034867.0614517,1732,-0.02724323980510235
1683034870.3660347,1734,-0.03540646657347679
1683034875.3453665,1737,-0.02756882831454277
1683034883.8397558,1742,-0.02983509562909603
1683034888.9032402,1745,-0.036790065467357635
1683034890.5899637,1746,-0.038352351635694504
1683034924.1692848,1766,-0.03835520148277283
1683034939.046862,1775,-0.0304923877120018
1683034949.0779276,1781,-0.03285546600818634
1683034960.8223772,1788,-0.017943859100341797
1683034962.5407462,1789,-0.02876073308289051
1683034977.665539,1798,-0.026538124307990074
1683034989.4337478,1805,-0.029788339510560036
1683035024.8802612,1826,-0.027427703142166138
1683035031.5802507,1830,-0.03393974527716637
1683035048.3895612,1840,-0.039104558527469635
1683035055.0982406,1844,-0.032635629177093506
1683035070.4043484,1853,-0.034781038761138916
1683035092.2639158,1866,-0.029192650690674782
1683035097.3064635,1869,-0.02772347442805767
1683035107.4205909,1875,-0.027003036811947823
1683035110.7686052,1877,-0.01891978643834591
1683035168.5990624,1911,-0.028745265677571297
1683035178.683226,1917,-0.025980237871408463
1683035207.392368,1934,-0.03280666097998619
1683035224.3531625,1944,-0.034241266548633575
1683035229.3647835,1947,-0.031739261001348495
1683035232.8307998,1949,-0.04094891622662544
1683035263.3218935,1967,-0.03159763664007187
1683035289.6085558,1981,-0.030856402590870857
1683035293.0052073,1983,-0.025431042537093163
1683035323.2972584,2001,-0.03330891951918602
1683035330.121834,2005,-0.04038430377840996
1683035343.7614748,2013,-0.04431116208434105
1683035372.6650252,2030,-0.0361025333404541
1683035382.9297798,2036,-0.03514613211154938
1683035423.8568728,2060,-0.033454280346632004
1683035446.0515046,2073,-0.04037335142493248
1683035451.1713145,2076,-0.029999542981386185
1683035452.8592253,2077,-0.02062479965388775
1683035456.278148,2079,-0.033808737993240356
1683035459.6608205,2081,-0.040242765098810196
1683035466.5767035,2085,-0.03851933777332306
1683035473.5440376,2089,-0.028027821332216263
1683035486.0009742,2096,-0.035223882645368576
1683035512.6064787,2111,-0.04026732221245766
1683035572.3383853,2145,-0.04095844551920891
1683035579.2739968,2149,-0.033676374703645706
1683035591.53323,2156,-0.04398474842309952
1683035607.285651,2165,-0.03477691113948822
1683035628.241095,2177,-0.049133311957120895
1683035645.5965035,2187,-0.02844379097223282
1683035649.1926138,2189,-0.023758498951792717
1683035652.7171223,2191,-0.03217315301299095
